index,time,name,id,type,format,len,data
00000001,283.987.979,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000002,000.000.268,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000003,000.000.236,接收,403,DATA,STANDARD,8,00009B000B030000
00000004,000.000.279,接收,404,DATA,STANDARD,8,0703050302030603
00000005,000.000.249,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000006,000.000.266,接收,406,DATA,STANDARD,8,D902000000001400
00000007,000.000.255,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000008,000.000.261,接收,408,DATA,STANDARD,8,0502000000009B01
00000009,000.000.259,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000010,000.000.256,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000011,000.000.281,接收,501,DATA,STANDARD,8,0000000000000000
00000012,000.002.135,接收,231,DATA,STANDARD,6,0201031F0E00
00000013,000.001.912,接收,232,DATA,STANDARD,6,020103230C00
00000014,000.001.673,接收,31F,DATA,STANDARD,8,000005020402FF80
00000015,000.000.251,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000016,000.004.035,接收,201,DATA,STANDARD,8,000000000B030000
00000017,000.037.386,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000018,000.000.256,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000019,000.000.259,接收,403,DATA,STANDARD,8,00009B000B030000
00000020,000.000.259,接收,404,DATA,STANDARD,8,0703050302030603
00000021,000.000.259,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000022,000.039.271,接收,406,DATA,STANDARD,8,D902000000001400
00000023,000.000.000,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000024,000.000.000,接收,408,DATA,STANDARD,8,0502000000009B01
00000025,000.000.000,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000026,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000027,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000028,000.002.130,接收,231,DATA,STANDARD,6,0201031F0E00
00000029,000.001.946,接收,232,DATA,STANDARD,6,020103230C00
00000030,000.001.636,接收,31F,DATA,STANDARD,8,000005020502FF80
00000031,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000032,000.002.882,接收,201,DATA,STANDARD,8,000000000A030000
00000033,000.038.577,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000034,000.000.235,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000035,000.000.297,接收,403,DATA,STANDARD,8,00009B000B030000
